,county_state,UV
1000,Grayson_KY,4184
1001,Green_KY,4147
1002,Greenup_KY,3930
1003,Hancock_KY,4194
1004,Hardin_KY,4149
1005,Harlan_KY,4068
1006,Harrison_KY,4016
1007,Hart_KY,4163
1008,Henderson_KY,4233
1009,Henry_KY,4066
1010,Hickman_KY,4362
1011,Hopkins_KY,4258
1012,Jackson_KY,4055
1013,Jefferson_KY,4116
1014,Jessamine_KY,4062
1015,Johnson_KY,3990
1016,Kenton_KY,4003
1017,Knott_KY,4032
1018,Knox_KY,4097
1019,Larue_KY,4139
1020,Laurel_KY,4087
1021,Lawrence_KY,3968
1022,Lee_KY,4038
1023,Leslie_KY,4062
1024,Letcher_KY,4047
1025,Lewis_KY,3950
1026,Lincoln_KY,4085
1027,Livingston_KY,4300
1028,Logan_KY,4246
1029,Lyon_KY,4301
1030,McCracken_KY,4325
1031,McCreary_KY,4126
1032,McLean_KY,4234
1033,Madison_KY,4055
1034,Magoffin_KY,4004
1035,Marion_KY,4117
1036,Marshall_KY,4320
1037,Martin_KY,3992
1038,Mason_KY,3973
1039,Meade_KY,4155
1040,Menifee_KY,4001
1041,Mercer_KY,4082
1042,Metcalfe_KY,4161
1043,Monroe_KY,4181
1044,Montgomery_KY,4014
1045,Morgan_KY,3990
1046,Muhlenberg_KY,4243
1047,Nelson_KY,4119
1048,Nicholas_KY,4001
1049,Ohio_KY,4215
1050,Oldham_KY,4091
1051,Owen_KY,4045
1052,Owsley_KY,4050
1053,Pendleton_KY,4005
1054,Perry_KY,4049
1055,Pike_KY,4024
1056,Powell_KY,4026
1057,Pulaski_KY,4105
1058,Robertson_KY,3995
1059,Rockcastle_KY,4073
1060,Rowan_KY,3973
1061,Russell_KY,4134
1062,Scott_KY,4039
1063,Shelby_KY,4081
1064,Simpson_KY,4234
1065,Spencer_KY,4101
