,county_state,poppct_urban,poppct_rural
571,Franklin_ID,33.81,66.19
572,Fremont_ID,27.96,72.04
573,Gem_ID,54.98,45.02
574,Gooding_ID,41.92,58.08
575,Idaho_ID,19.36,80.64
576,Jefferson_ID,33.39,66.61
577,Jerome_ID,48.68,51.32
578,Kootenai_ID,75.76,24.24
579,Latah_ID,65.01,34.99
580,Lemhi_ID,38.86,61.14
581,Lewis_ID,0.0,100.0
582,Lincoln_ID,0.0,100.0
583,Madison_ID,71.54,28.46
584,Minidoka_ID,55.78,44.22
585,Nez Perce_ID,80.84,19.16
586,Oneida_ID,0.0,100.0
587,Owyhee_ID,22.71,77.29
588,Payette_ID,57.33,42.67
589,Power_ID,57.41,42.59
590,Shoshone_ID,43.96,56.04
591,Teton_ID,0.0,100.0
592,Twin Falls_ID,72.01,27.99
593,Valley_ID,0.0,100.0
594,Washington_ID,54.43,45.57
595,Adams_IL,67.4,32.6
596,Alexander_IL,38.14,61.86
597,Bond_IL,39.26,60.74
598,Boone_IL,80.64,19.36
599,Brown_IL,58.93,41.07
600,Bureau_IL,42.61,57.39
601,Calhoun_IL,0.0,100.0
602,Carroll_IL,18.13,81.87
603,Cass_IL,47.87,52.13
604,Champaign_IL,87.29,12.71
605,Christian_IL,56.55,43.45
606,Clark_IL,40.46,59.54
607,Clay_IL,35.27,64.73
608,Clinton_IL,51.24,48.76
609,Coles_IL,75.71,24.29
610,Cook_IL,99.95,0.05
611,Crawford_IL,39.83,60.17
612,Cumberland_IL,0.0,100.0
613,DeKalb_IL,79.69,20.31
614,De Witt_IL,51.25,48.75
615,Douglas_IL,38.36,61.64
616,DuPage_IL,99.95,0.05
617,Edgar_IL,48.2,51.8
618,Edwards_IL,0.0,100.0
619,Effingham_IL,40.3,59.7
620,Fayette_IL,33.01,66.99
621,Ford_IL,58.22,41.78
622,Franklin_IL,51.42,48.58
623,Fulton_IL,39.97,60.03
624,Gallatin_IL,0.0,100.0
625,Greene_IL,29.15,70.85
